id,latitude,longitude,free_bikes,empty_slots,bike_station
1f5c4bbbdda9c2d08239135f4adde68f,41.96909,-87.674237,7,39,0
1ad7fb8d86ae4bffa241927486981a37,41.793242,-87.587782,13,6,1
5722adf4f567f20396ba64db2aa3952b,41.88283,-87.661206,6,5,2
d510712148d2ace2f7efade8e41b4fa4,41.950687,-87.6687,12,3,3
7d847e4d2e95d93d23dfb60e811f3888,41.929546,-87.643118,13,0,4
3e7f4a1a0a89954ac257e403e6d29263,41.866095,-87.607267,1,34,5
77fdc1c96ea2b87051aa1d14aa3940a1,41.871262,-87.673688,0,21,6
7c796d4adb3a7cb7c80818ef8e3706ee,41.928887,-87.658971,3,9,7
4976a6d4f99cb78fd33b89d4954ca3a4,41.929143,-87.649077,12,1,8
361f4566b1399797b0b93458561b81ad,41.805661,-87.683392,2,9,9
7db1f7cd085de82f4bd8ed444ac23ef1,41.92459,-87.72785,2,8,10
e17e3c8d94314130f0df319fd621b49d,41.94367,-87.64895,9,4,11
ce64acd799ad160f58714e4d66f93bd3,41.940106,-87.645451,15,2,12
6b1b862f1b6c969e38091549207f8c04,41.961507,-87.671387,1,14,13
11a832f422b10fe7e4cbc244ba11afb0,41.978353,-87.659753,14,0,14
01dec6831a34cc21119afedc1a551567,41.973815,-87.65966,11,7,15
ce5c76653e8dc91406270f278700a41e,41.957081,-87.664199,2,8,16
ac2888f3f50db6703232d44509449a5d,41.965221,-87.658139,10,13,17
9db2884da36cabac8cd67e9bec1e2266,41.921525,-87.707322,9,5,18
d849d399f3f5819a139a660f4df2b7f3,41.906724,-87.63483,1,14,19
23092e2b09d840d04b8549610274b570,41.953733,-87.740569,5,5,20
70082d3039d307661605014519032c9b,41.787539,-87.644874,4,7,21
3641f6337b3bf6a61660c79fafedd488,41.960631,-87.745359,5,6,22
a338f4ed1812b090b17ff9412df9adcb,41.891466,-87.626761,1,28,23
7726429245001ff8e889f60d1cb505dc,42.032562,-87.679101,7,4,24
dd9129b3d6997c7c90a07c7a8d00d075,42.048214,-87.683485,2,11,25
1976697fc5cdfc3ed05deba9b59c5f3a,41.884728,-87.619521,0,51,26
c18c4d65dba23fd995291bb1e247a4a9,41.886875,-87.62603,0,16,27
e8088cdb2526d5bb46e97fcc95554047,41.882134,-87.625125,0,18,28
fda2895d31f014b24208c2fa946c334c,41.890573,-87.622072,1,29,29
04c7353c6ebd0229dad664ca9fae876f,41.88169,-87.63953,3,18,30
100a3709c9e441ab29c3a8dc210d59ca,41.928773,-87.663913,13,2,31
c84cde6b81786b38276ea58ee89d9368,41.841707,-87.626938,5,6,32
f9fc7dc69c3dea477b9bdee19535f824,41.879255,-87.639904,1,45,33
f83df5ad9762592fb29c27c14b62ca22,41.7586696704,-87.586882871,3,8,34
9f666ceb4fdc869c4c22de8f8853b7b8,41.816499,-87.606582,8,3,35
a00c5b96a8b350f4e7d6592a391f28bb,41.838842,-87.621857,8,3,36
7ee4cb8cac896b5b46fedb0f72b5ee83,41.861267,-87.656625,6,7,37
d71d45b9ccf989cdc95bea58cc59d770,41.865234,-87.666507,6,7,38
2201d49f925d6c7a3353f0bf87df111f,41.891072,-87.666611,2,10,39
86989cfe33e3e0bc607fedac6f467910,41.830661,-87.647172,6,9,40
2678099b372c37c7971bd3cf7846cad1,41.894887,-87.774704,2,5,41
6ad515a6267addaf6b2e2bfc15a390d1,42.012701,-87.666058,7,8,42
7bcd8202d36436fcf1c23e147d2b52d9,42.012342,-87.688243,6,5,43
e77794c4f4f086fd0a0c2508463f4d87,42.018901,-87.690048,5,10,44
17c5f5125f31cb03694e34c99dc682d8,42.015962,-87.66857,7,11,45
482f37a0a0cb2a7bab52424656f57b6a,42.019537,-87.669563,5,6,46
868a1f99977c7f184af87410583c81ec,42.039742,-87.699413,1,14,47
ed564a9cb47fafea0437ccf0059c7775,41.885409,-87.726491,9,1,48
f42984edfc3b8b517f6c635015fca399,41.886841,-87.745261,5,6,49
4dffb0710c525e8654550149a17ae0fa,42.00445062934,-87.6724024047,13,1,50
6348a64eb38a08522f7ce5084014bed0,42.00454962194,-87.6806661451,6,5,51
a42e6fbd08e6f71848e1edcb86f335e1,41.84910969176,-87.6951398068,5,6,52
c98b9544becc8a04ab6d607be0b5a5a3,41.8481,-87.715068,1,9,53
4a8cb7d7f6fc378b4c52f672782ed876,42.00797192287,-87.6655023944,7,7,54
640ce137384b484c9b16bd1692ea7b19,41.84151770807,-87.6851314409,9,2,55
97de04b929c07278987386d5bfafd3f7,41.84447501366,-87.7020130128,4,7,56
6458e7def29be0a0a488a7e046ac127c,41.87184,-87.64664,1,15,57
6b7af736e6add0e077c2be2e281a2592,41.874754,-87.649807,3,14,58
198e6b78d2797c8caad5b16e6fc36a15,41.77345849948,-87.5853397391,5,6,59
ee6928bd2a7172a0189305ebc12505c3,41.87146651779,-87.6409491327,4,10,60
b054c6e1fba2ba16c524f975d4d67f01,41.888243,-87.63639,5,27,61
ec839fe097cc94a666c09075e3cdd265,41.897448,-87.628722,7,20,62
47d3b52cf66e0be2e18d6420e758c701,41.87947235235,-87.6256886059,0,23,63
b9e744947abe019aedac202b985f667e,41.877181,-87.627844,3,23,64
c2340f845a4549b2209839b8cc129b36,41.87464,-87.65703,7,9,65
401df72cdbd168f03fc35f2f805a5d95,41.899643,-87.6677,9,4,66
aa46fd3f3a431b5860dbf50cfc340aac,41.8793563587,-87.6297910363,1,17,67
1c7ea9d866619c3ca0db16462a0f1465,41.8777079559,-87.6353211408,2,35,68
f5e39d9ea81017d4f7a148c6b83d0d10,41.892278,-87.612043,1,34,69
d12243325355e6705dd9a23d75b3a268,41.9267559875,-87.6344287848,2,13,70
f433a7ccfd1dc228e2ae9f776aeec36e,41.894745,-87.756895,3,4,71
22a4c974a08e758633925eba1f28f6b6,41.826712,-87.683144,1,9,72
f815b268a008f6a136472b3b9693b104,41.85353363213,-87.7050730318,4,7,73
9af01d0df12b4970acf9bf01f04b50be,41.866624,-87.694521,6,5,74
8e8994bbfc5423a06954013433be0a3d,41.86650148316,-87.68469707,18,0,75
ca31807ac807d130a46b090294ceada9,41.86649278172,-87.7064961757,9,2,76
bfcb1928473513ae0b8dae15049f42b8,41.87359967462,-87.7048707493,7,2,77
1dd6aa4e605c5af07097ca54ec3a6a63,41.78008063659,-87.6159428567,9,2,78
7a544dab113da78e735a36c045220dd9,41.838198,-87.645143,9,0,79
5ac527691dfaa8e196ed72be7e010a46,41.831379,-87.618034,6,9,80
5db6af350c3398de7f21fb926c1a0cdb,41.940775,-87.639192,15,2,81
d446dcea668a5b04fb97772ee93edd69,41.89675,-87.63089,0,17,82
8e2bdb638a19c6730f3d68080451893a,41.809855,-87.606755,6,9,83
6724222aa49d626ed9ec99d96ac5ce66,41.909668,-87.648128,2,22,84
dbfeea317c5549215bfd85cbdc151ab0,41.946176,-87.673308,5,14,85
d28e761aec3c6f4bacf93d9440e60d80,41.907066,-87.667252,12,0,86
b76468f6ba44bc3df78b8974c4705c80,41.93314,-87.64776,16,2,87
bc9bcc704d05b8355608c21dd284faf7,41.886976,-87.612813,0,25,88
d26cdaf63686931632d8f3317d720f8f,41.882664,-87.63253,0,15,89
840e7d9500f75713a2f0acc89c819750,41.88338,-87.64117,0,26,90
96561e2c766a72c90d22128feca8664a,41.8810317,-87.62408432,0,42,91
bc4590517325920d25c6f7db1cbd5c9c,41.913688,-87.652855,11,1,92
c6454aa37f7430526c2fc669fddb9e87,41.894556,-87.653449,18,0,93
caace00c27c85c809ed17111be2a4cba,41.778881,-87.586647,5,6,94
751236b7bb53e5ec76263823dde59097,41.918306,-87.636282,14,10,95
1bda95324fef73c6f1a71f1f40aebb45,41.865312,-87.617867,0,29,96
9a37dbc5c45d1b66efb017c03317059d,41.88461618962,-87.6445705849,9,11,97
c1d1b0db8e3c013d8da73c8bc2e080b6,41.794228,-87.655073,5,6,98
e11a92703c3716b2314f5456fee1c07e,41.792822,-87.664429,5,6,99
5037127308a2d715228935c4684ffe93,41.803023,-87.664699,6,5,100
ded4fc46332d538747cba18948ad62fe,41.800908,-87.674684,3,4,101
0906ffa955be21910b543f58575a80b6,41.794087,-87.675478,6,5,102
714a7548f77519de2a10ddf024ebf5ad,41.799659,-87.657195,2,5,103
f15d1c7ae869d8461876cc51c033baf8,41.808227,-87.67718,8,3,104
23d2e03453381dd4b40ed4eebd5015ea,41.894958,-87.764902,1,9,105
6a513a6fe1fb23f86c5e91ac74197ece,41.80839,-87.656526,3,8,106
b804c0dd5e6b58346592212f0f9c5f53,41.80887,-87.66454,7,4,107
ae77a6e66eaf67f2537ebae75295bcca,41.961406,-87.676169,2,13,108
cea0ed3f527bbdc236d92cfdde8258f1,41.961588,-87.666036,12,3,109
87c6f6f8da77e1f9ae5774ba076a45ec,41.907626,-87.638566,6,7,110
e4f0a502d8c8e72d591db1199ea5d3a3,41.842052,-87.617,15,1,111
c893c4f1d52daddf537401f09ed08cde,41.96167,-87.65464,18,3,112
42b90c70f7537ed60c55e94ad9dd20a0,41.883165,-87.6511,0,15,113
7616277d5bfde3ceaa2ac44f48b32318,41.877945,-87.662007,9,7,114
f21094a0cbb31eeab757f4842a949183,41.845687,-87.622481,8,7,115
1e2ac62a7914651c3919c7442c90bb79,41.921822,-87.64414,15,1,116
beca60f2189a11d22eec7d97fe996db6,41.8985866514,-87.6219152258,1,15,117
975307690597ba4c521d90067b25ed25,41.894503,-87.617854,4,25,118
5b2106a3a64c92dcd195195843ea3d09,41.922167,-87.638888,13,0,119
5529080388dcfda7ec6106631ddddccf,41.898969,-87.629912,6,12,120
d3324ee7cf49c6ee2b902483c5ab9f41,41.915689,-87.6346,3,15,121
31d68af706c9ec1afaad3d1f43d15c73,41.834734,-87.625813,6,9,122
00929ee6a896cd369421a485261d98f7,41.8349,-87.61793,9,0,123
9254526142a48fa2c9efa31d39438873,41.872773,-87.623981,15,25,124
e9e5fdbb892a1aa4fac9ce86739b0bd7,41.900363,-87.696704,7,8,125
e3bef3f35cea8ab85cebe484af5e31a0,41.88917683258,-87.6385057718,7,21,126
ad66d85749aa72209a2525823fe846e0,41.903266,-87.678435,1,10,127
71a4f25915a305d580d0120ebadff605,41.862378,-87.651062,10,1,128
1ea09bb95a1bd8ebdc7d7148a7a0fc81,41.865054,-87.656959,3,6,129
20e02634b8dab0a0469fc3e95a4c4782,41.96110801623,-87.7289701012,6,5,130
0c0a2481e64f6ffada0d915ce5fea5bf,41.939408,-87.723574,5,6,131
ae489d7ecd6074067b6bd326e7b26ce7,41.904613,-87.640552,10,3,132
63dee8c6b761d724fb232edba88de739,41.94524356848,-87.7066499009,8,6,133
91228ca4b209ef6536ef256840b81bca,41.9466358306,-87.694614758,10,3,134
0595ddafd79f881370e07bb8b3879760,41.946655,-87.683359,13,1,135
de0f23bcde43515269a3b92fe878ac54,41.943034,-87.687288,4,7,136
d89414e6edca9ab125a8d97a4c0514e8,41.89766,-87.62351,0,21,137
5f100ae1d10485a50b289d60c3aa31a1,41.91021,-87.6435,11,7,138
b9114301c8c90734fb1516d19fe37e4c,41.910522,-87.653106,4,10,139
8a65f2a456027d20ac7cc0ba1cbbc7c5,41.87772613,-87.65478743,5,15,140
9cbb73fec398309a781cd3223fece425,41.8694821,-87.6554864,8,3,141
a0fd691b483dda622169d07dd9d3797b,41.902924,-87.637715,6,5,142
f8398d403e707d33e981655a09aec96f,41.91468,-87.64332,8,6,143
f3f991ce6c3f46e48a038ac92825e066,41.90068,-87.6626,9,5,144
20b613cd03866a64444bdda247a77bca,41.82301523798,-87.6265680185,7,3,145
4a6d6f8d318b4383392b64b1a4a65afb,41.83127423549,-87.6087991946,6,13,146
ea14da01a09544aa23fffb52a27d000f,41.830777,-87.632504,3,12,147
1670df30e8b3917b6f649c78a234442d,41.83452988563,-87.6318229814,3,12,148
776ae16be52cfbb5cb338bed52432fd8,41.838464,-87.635406,9,4,149
78e14c6bbb4758170a0a52626541920c,41.842733,-87.635491,9,1,150
00bbbb451f5c60bba234419d295a5d0d,41.76571903697,-87.604959713,4,7,151
9925eae1261a759448546036984abf97,41.81620767856,-87.6348193497,7,3,152
26b1c91821312c628cd563f1e550f4ed,41.819102,-87.643278,4,7,153
0045c4ba7f11a31d591ab47fcc622eb2,41.91461,-87.667968,13,8,154
2243332775c8e6f6b491d2f19adcbf6b,41.88445395657,-87.6962981368,0,11,155
000db9b6e3849926d4868caf7096780d,41.85418424947,-87.6191537415,10,4,156
9e1ce54c3512c3488794518f48e7ba07,41.89546530305,-87.7061278837,1,10,157
dab7c45f137bb42d1107b3746187c1b0,41.89841768945,-87.6865960164,9,11,158
