fsq_id,free_bikes,bike_station,empty_slots,latitude,longitude,distance
520c391a11d2d981be88347b,2,9,9,41.805661,-87.683392,172
5a6fafafc62b49492c130013,2,9,9,41.805661,-87.683392,50
535b07c3498eba1a59a21680,2,9,9,41.805661,-87.683392,47
5d4addc07928f300080223b3,2,9,9,41.805661,-87.683392,159
4b67a136f964a520ad582be3,2,9,9,41.805661,-87.683392,109
4b4a7352f964a520038826e3,2,9,9,41.805661,-87.683392,249
4b2b8a46f964a52057b724e3,2,9,9,41.805661,-87.683392,112
5abd5f1697cf5a6f517f6e91,2,9,9,41.805661,-87.683392,162
5333308c498e832a60af3d55,2,10,8,41.92459,-87.72785,64
4a807b49f964a52069f51fe3,2,10,8,41.92459,-87.72785,42
520c391a11d2d981be88347b,2,10,8,41.92459,-87.72785,172
5a6fafafc62b49492c130013,2,10,8,41.92459,-87.72785,50
535b07c3498eba1a59a21680,2,10,8,41.92459,-87.72785,47
5d4addc07928f300080223b3,2,10,8,41.92459,-87.72785,159
4b67a136f964a520ad582be3,2,10,8,41.92459,-87.72785,109
4b4a7352f964a520038826e3,2,10,8,41.92459,-87.72785,249
4b2b8a46f964a52057b724e3,2,10,8,41.92459,-87.72785,112
5abd5f1697cf5a6f517f6e91,2,10,8,41.92459,-87.72785,162
5333308c498e832a60af3d55,9,11,4,41.94367,-87.64895,64
4a807b49f964a52069f51fe3,9,11,4,41.94367,-87.64895,42
520c391a11d2d981be88347b,9,11,4,41.94367,-87.64895,172
5a6fafafc62b49492c130013,9,11,4,41.94367,-87.64895,50
535b07c3498eba1a59a21680,9,11,4,41.94367,-87.64895,47
5d4addc07928f300080223b3,9,11,4,41.94367,-87.64895,159
4b67a136f964a520ad582be3,9,11,4,41.94367,-87.64895,109
4b4a7352f964a520038826e3,9,11,4,41.94367,-87.64895,249
4b2b8a46f964a52057b724e3,9,11,4,41.94367,-87.64895,112
5abd5f1697cf5a6f517f6e91,9,11,4,41.94367,-87.64895,162
5333308c498e832a60af3d55,15,12,2,41.940106,-87.645451,64
4a807b49f964a52069f51fe3,15,12,2,41.940106,-87.645451,42
520c391a11d2d981be88347b,15,12,2,41.940106,-87.645451,172
5a6fafafc62b49492c130013,15,12,2,41.940106,-87.645451,50
535b07c3498eba1a59a21680,15,12,2,41.940106,-87.645451,47
5d4addc07928f300080223b3,15,12,2,41.940106,-87.645451,159
4b67a136f964a520ad582be3,15,12,2,41.940106,-87.645451,109
4b4a7352f964a520038826e3,15,12,2,41.940106,-87.645451,249
4b2b8a46f964a52057b724e3,15,12,2,41.940106,-87.645451,112
5abd5f1697cf5a6f517f6e91,15,12,2,41.940106,-87.645451,162
5333308c498e832a60af3d55,1,13,14,41.961507,-87.671387,64
4a807b49f964a52069f51fe3,1,13,14,41.961507,-87.671387,42
520c391a11d2d981be88347b,1,13,14,41.961507,-87.671387,172
5a6fafafc62b49492c130013,1,13,14,41.961507,-87.671387,50
535b07c3498eba1a59a21680,1,13,14,41.961507,-87.671387,47
5d4addc07928f300080223b3,1,13,14,41.961507,-87.671387,159
4b67a136f964a520ad582be3,1,13,14,41.961507,-87.671387,109
4b4a7352f964a520038826e3,1,13,14,41.961507,-87.671387,249
4b2b8a46f964a52057b724e3,1,13,14,41.961507,-87.671387,112
5abd5f1697cf5a6f517f6e91,1,13,14,41.961507,-87.671387,162
5333308c498e832a60af3d55,14,14,0,41.978353,-87.659753,64
4a807b49f964a52069f51fe3,14,14,0,41.978353,-87.659753,42
520c391a11d2d981be88347b,14,14,0,41.978353,-87.659753,172
5a6fafafc62b49492c130013,14,14,0,41.978353,-87.659753,50
535b07c3498eba1a59a21680,14,14,0,41.978353,-87.659753,47
5d4addc07928f300080223b3,14,14,0,41.978353,-87.659753,159
4b67a136f964a520ad582be3,14,14,0,41.978353,-87.659753,109
4b4a7352f964a520038826e3,14,14,0,41.978353,-87.659753,249
4b2b8a46f964a52057b724e3,14,14,0,41.978353,-87.659753,112
5abd5f1697cf5a6f517f6e91,14,14,0,41.978353,-87.659753,162
5333308c498e832a60af3d55,11,15,7,41.973815,-87.65966,64
4a807b49f964a52069f51fe3,11,15,7,41.973815,-87.65966,42
520c391a11d2d981be88347b,11,15,7,41.973815,-87.65966,172
5a6fafafc62b49492c130013,11,15,7,41.973815,-87.65966,50
535b07c3498eba1a59a21680,11,15,7,41.973815,-87.65966,47
5d4addc07928f300080223b3,11,15,7,41.973815,-87.65966,159
4b67a136f964a520ad582be3,11,15,7,41.973815,-87.65966,109
4b4a7352f964a520038826e3,11,15,7,41.973815,-87.65966,249
4b2b8a46f964a52057b724e3,11,15,7,41.973815,-87.65966,112
5abd5f1697cf5a6f517f6e91,11,15,7,41.973815,-87.65966,162
5333308c498e832a60af3d55,2,16,8,41.957081,-87.664199,64
4a807b49f964a52069f51fe3,2,16,8,41.957081,-87.664199,42
520c391a11d2d981be88347b,2,16,8,41.957081,-87.664199,172
5a6fafafc62b49492c130013,2,16,8,41.957081,-87.664199,50
535b07c3498eba1a59a21680,2,16,8,41.957081,-87.664199,47
5d4addc07928f300080223b3,2,16,8,41.957081,-87.664199,159
4b67a136f964a520ad582be3,2,16,8,41.957081,-87.664199,109
4b4a7352f964a520038826e3,2,16,8,41.957081,-87.664199,249
4b2b8a46f964a52057b724e3,2,16,8,41.957081,-87.664199,112
5abd5f1697cf5a6f517f6e91,2,16,8,41.957081,-87.664199,162
5333308c498e832a60af3d55,10,17,13,41.965221,-87.658139,64
4a807b49f964a52069f51fe3,10,17,13,41.965221,-87.658139,42
520c391a11d2d981be88347b,10,17,13,41.965221,-87.658139,172
5a6fafafc62b49492c130013,10,17,13,41.965221,-87.658139,50
535b07c3498eba1a59a21680,10,17,13,41.965221,-87.658139,47
5d4addc07928f300080223b3,10,17,13,41.965221,-87.658139,159
4b67a136f964a520ad582be3,10,17,13,41.965221,-87.658139,109
4b4a7352f964a520038826e3,10,17,13,41.965221,-87.658139,249
4b2b8a46f964a52057b724e3,10,17,13,41.965221,-87.658139,112
5abd5f1697cf5a6f517f6e91,10,17,13,41.965221,-87.658139,162
5333308c498e832a60af3d55,9,18,5,41.921525,-87.707322,64
4a807b49f964a52069f51fe3,9,18,5,41.921525,-87.707322,42
520c391a11d2d981be88347b,9,18,5,41.921525,-87.707322,172
5a6fafafc62b49492c130013,9,18,5,41.921525,-87.707322,50
535b07c3498eba1a59a21680,9,18,5,41.921525,-87.707322,47
5d4addc07928f300080223b3,9,18,5,41.921525,-87.707322,159
4b67a136f964a520ad582be3,9,18,5,41.921525,-87.707322,109
4b4a7352f964a520038826e3,9,18,5,41.921525,-87.707322,249
4b2b8a46f964a52057b724e3,9,18,5,41.921525,-87.707322,112
5abd5f1697cf5a6f517f6e91,9,18,5,41.921525,-87.707322,162
5333308c498e832a60af3d55,1,19,14,41.906724,-87.63483,64
4a807b49f964a52069f51fe3,1,19,14,41.906724,-87.63483,42
520c391a11d2d981be88347b,1,19,14,41.906724,-87.63483,172
5a6fafafc62b49492c130013,1,19,14,41.906724,-87.63483,50
535b07c3498eba1a59a21680,1,19,14,41.906724,-87.63483,47
5d4addc07928f300080223b3,1,19,14,41.906724,-87.63483,159
4b67a136f964a520ad582be3,1,19,14,41.906724,-87.63483,109
4b4a7352f964a520038826e3,1,19,14,41.906724,-87.63483,249
4b2b8a46f964a52057b724e3,1,19,14,41.906724,-87.63483,112
5abd5f1697cf5a6f517f6e91,1,19,14,41.906724,-87.63483,162
5333308c498e832a60af3d55,5,20,5,41.953733,-87.740569,64
4a807b49f964a52069f51fe3,5,20,5,41.953733,-87.740569,42
520c391a11d2d981be88347b,5,20,5,41.953733,-87.740569,172
5a6fafafc62b49492c130013,5,20,5,41.953733,-87.740569,50
535b07c3498eba1a59a21680,5,20,5,41.953733,-87.740569,47
5d4addc07928f300080223b3,5,20,5,41.953733,-87.740569,159
4b67a136f964a520ad582be3,5,20,5,41.953733,-87.740569,109
4b4a7352f964a520038826e3,5,20,5,41.953733,-87.740569,249
4b2b8a46f964a52057b724e3,5,20,5,41.953733,-87.740569,112
5abd5f1697cf5a6f517f6e91,5,20,5,41.953733,-87.740569,162
5333308c498e832a60af3d55,4,21,7,41.787539,-87.644874,64
4a807b49f964a52069f51fe3,4,21,7,41.787539,-87.644874,42
520c391a11d2d981be88347b,4,21,7,41.787539,-87.644874,172
5a6fafafc62b49492c130013,4,21,7,41.787539,-87.644874,50
535b07c3498eba1a59a21680,4,21,7,41.787539,-87.644874,47
5d4addc07928f300080223b3,4,21,7,41.787539,-87.644874,159
4b67a136f964a520ad582be3,4,21,7,41.787539,-87.644874,109
4b4a7352f964a520038826e3,4,21,7,41.787539,-87.644874,249
