id_x,review_count,rating,free_bikes,bike_station,empty_slots,latitude,longitude
_MrI1UWy4pEPw2dA8CU6CQ,161.0,4.5,12,3,3,41.950687,-87.6687
osjt43KpFpq71DygSjGXEw,68.0,4.5,12,3,3,41.950687,-87.6687
3dXYHvsHPPuF4g98q9R4Aw,179.0,4.5,12,3,3,41.950687,-87.6687
yv8HKUvLbnno2r8Yz6hNOA,56.0,4.5,12,3,3,41.950687,-87.6687
S7pd3_v0z86hkinWwc2SIw,25.0,4.5,12,3,3,41.950687,-87.6687
Q96N6hvFEY5lrJjn-mESVw,68.0,4.5,12,3,3,41.950687,-87.6687
zqI_FyC-S01HCqNB8cCuZw,51.0,4.5,12,3,3,41.950687,-87.6687
4DtmYC7w8FFvMAhBKUO3hg,71.0,4.5,12,3,3,41.950687,-87.6687
PjJw8bq2t-prI9eHpQA6rA,123.0,4.5,12,3,3,41.950687,-87.6687
xChkwsmN5YemDKwqSYOJKA,3.0,5.0,12,3,3,41.950687,-87.6687
c1OT7xxXi3W_7an_Ra4Pvw,198.0,4.5,12,3,3,41.950687,-87.6687
EVI2RsgaYHKhTZLLeXQ-6Q,8.0,4.5,12,3,3,41.950687,-87.6687
jveDYYM7TCrkdkwtWTAdYQ,6.0,4.5,12,3,3,41.950687,-87.6687
AqYFeg1GBwHe4ERL3q_LYg,396.0,4.5,12,3,3,41.950687,-87.6687
tQqZ7smR1OIVMYV0jA6tIw,34.0,5.0,13,4,0,41.929546,-87.643118
1eDnD3CN9jLydSugYIO50w,85.0,5.0,13,4,0,41.929546,-87.643118
99GN5ngA2wdwxv0keLqC3g,102.0,5.0,13,4,0,41.929546,-87.643118
CiKR9s_MphGQLhtlp1FBtA,64.0,5.0,13,4,0,41.929546,-87.643118
-KZsoQtr3e-md07sj0UQzQ,513.0,5.0,13,4,0,41.929546,-87.643118
IvPHql5UloizrbYL1zrEXg,116.0,5.0,13,4,0,41.929546,-87.643118
iAVr7R3a50vTI3SHvX6R4A,103.0,5.0,13,4,0,41.929546,-87.643118
5YtLXPKNx7DOVJc2YKhnww,54.0,5.0,13,4,0,41.929546,-87.643118
fBe0G4dYB5dw4UpnG1DJhA,61.0,5.0,13,4,0,41.929546,-87.643118
ZuenhTy_EnYsyVL8gpGfxQ,30.0,4.5,13,4,0,41.929546,-87.643118
OmEVOOG5Z1SEnUKHoJC7sQ,7.0,4.5,13,4,0,41.929546,-87.643118
UzksnYYQvh2tThSGTqUslA,21.0,4.5,13,4,0,41.929546,-87.643118
gs-PZjw3VONWJQFCSTDTeg,428.0,4.5,13,4,0,41.929546,-87.643118
NwArLAA0hQWqTuAy_u4gKA,148.0,4.5,13,4,0,41.929546,-87.643118
Msq026okPVK4X7zPfobzEg,55.0,4.5,13,4,0,41.929546,-87.643118
qXpvnq1EJ27iuoghG5A4-g,540.0,4.5,13,4,0,41.929546,-87.643118
B5biZi7FWkzZ1c4F_VbnBQ,16.0,4.5,13,4,0,41.929546,-87.643118
XDEPn4jV224fduZcIYfqEA,49.0,4.5,13,4,0,41.929546,-87.643118
qvj2Lho5xuymCy_7NrAe3g,27.0,4.5,13,4,0,41.929546,-87.643118
Mud-L2vMAtmvWpjo3tDvaA,195.0,4.5,13,4,0,41.929546,-87.643118
OO-PuBnfrdXlZWKCyPPiQg,336.0,4.5,1,5,34,41.866095,-87.607267
nnww_i40GwnUxDaj6tALeA,15.0,3.5,1,5,34,41.866095,-87.607267
yG12wnFV0DQfd0EoHS9roA,29.0,3.0,1,5,34,41.866095,-87.607267
ducSoff1ufjE9KEJ0YsJvw,13.0,3.0,1,5,34,41.866095,-87.607267
uw-Ebmb4AfMjgIUozg8tPg,34.0,3.0,1,5,34,41.866095,-87.607267
Rf4nWeYwp23r2mP7AExvTQ,67.0,3.0,1,5,34,41.866095,-87.607267
TWmTm_ByQIAb0JdvA_NKqw,9.0,2.0,1,5,34,41.866095,-87.607267
a3_IvddOfDIzePTgaiiNgg,35.0,2.0,1,5,34,41.866095,-87.607267
j_2R7YinhgSamKA8-wjJkw,4.0,2.0,1,5,34,41.866095,-87.607267
dX6UtuHNEt0ZP-_yAMDjTw,10.0,1.5,1,5,34,41.866095,-87.607267
SzjDCcjcp7rbQfkmGWKfMA,0.0,0.0,1,5,34,41.866095,-87.607267
2u13jY5XmyW9nq1E5UQVCQ,0.0,0.0,1,5,34,41.866095,-87.607267
IZD410ar3ojPkJCi7bNxaQ,0.0,0.0,1,5,34,41.866095,-87.607267
JUOSQVOj-qLJnincDxEvpQ,12.0,5.0,0,6,21,41.871262,-87.673688
c83lZNCr9d4DAONh9feX_A,14.0,5.0,0,6,21,41.871262,-87.673688
Z_uDOC7iCilTP9gyo8TrbA,3.0,5.0,0,6,21,41.871262,-87.673688
J9WfLOHSTcXaT_9kz2gq0Q,298.0,4.5,0,6,21,41.871262,-87.673688
-WiQo0K_I-LSlaGSyax1uA,50.0,4.5,0,6,21,41.871262,-87.673688
DLbLhXlf-f_TZPm6z4Z17g,80.0,4.5,0,6,21,41.871262,-87.673688
K3xR2sskPP-KeDmlwnx-FQ,170.0,4.5,0,6,21,41.871262,-87.673688
U2i4dCWTP6AhSuCwDhhblA,154.0,4.5,0,6,21,41.871262,-87.673688
CeoR8-qNyXf5Rw--IUP3yg,74.0,4.5,0,6,21,41.871262,-87.673688
UhxY8s_m53HhkwuPVUOcPQ,2.0,5.0,0,6,21,41.871262,-87.673688
eG64VXdW3RzQhsmTbr-rCw,632.0,4.0,0,6,21,41.871262,-87.673688
IoJoWPp7dQOjeCfT2ki3cA,345.0,4.0,0,6,21,41.871262,-87.673688
Xsm6pmhQaTubKWfG6aHMyw,215.0,4.0,0,6,21,41.871262,-87.673688
sJuQZfxkcDH2d_V07VhR8Q,125.0,4.0,0,6,21,41.871262,-87.673688
B4aXKGU3nKMd6Lz9v6AcDg,22.0,4.0,0,6,21,41.871262,-87.673688
FWkfxjvdw3UPM_654J4VhA,8.0,4.0,0,6,21,41.871262,-87.673688
-s7uG-aWPB5BcpCNRDsgYw,1.0,5.0,0,6,21,41.871262,-87.673688
6stI1fteYUDyTxB6ZkRa2w,125.0,4.0,0,6,21,41.871262,-87.673688
rvodTVrLfaLk5q-MRlw7Nw,265.0,4.0,0,6,21,41.871262,-87.673688
I8W5EBWP5ajd1tk8IwhRfg,694.0,4.0,0,6,21,41.871262,-87.673688
ScH70JdzPpPyVhQtdb1sCQ,7.0,5.0,3,7,9,41.928887,-87.658971
99GN5ngA2wdwxv0keLqC3g,102.0,5.0,3,7,9,41.928887,-87.658971
tnTl_m7okCumt6211OmjSA,63.0,5.0,3,7,9,41.928887,-87.658971
P88WaOQUOm8KqPs7e3qfFw,26.0,5.0,3,7,9,41.928887,-87.658971
L4qQW096fqVb-YskA2y2Jw,90.0,5.0,3,7,9,41.928887,-87.658971
fBe0G4dYB5dw4UpnG1DJhA,61.0,5.0,3,7,9,41.928887,-87.658971
qvj2Lho5xuymCy_7NrAe3g,27.0,4.5,3,7,9,41.928887,-87.658971
Mud-L2vMAtmvWpjo3tDvaA,195.0,4.5,3,7,9,41.928887,-87.658971
FyIWrSIlL_iwmjDZ3EpoBg,8.0,4.5,3,7,9,41.928887,-87.658971
-PSWhSTRFmLu4NlXOngs0g,40.0,4.5,3,7,9,41.928887,-87.658971
-otD9myzwCgSYXdcx90jLQ,98.0,4.5,3,7,9,41.928887,-87.658971
tefzioftQqrjRTq7TxfoZw,17.0,4.5,3,7,9,41.928887,-87.658971
ORmcMLOKq9XPLmPGxIyABg,51.0,4.5,3,7,9,41.928887,-87.658971
89tZ6uoPgMktsiP9P6eq2g,275.0,4.5,3,7,9,41.928887,-87.658971
Bp1ZiZ8eNpBCC074oGk4ag,44.0,4.5,3,7,9,41.928887,-87.658971
yahS_IxxXZQ1lraU_uP-Tg,61.0,4.5,3,7,9,41.928887,-87.658971
Xc7KC3XLxYUhM9Xzh-eDvA,325.0,4.5,3,7,9,41.928887,-87.658971
wzw3aysUi9sBq-wLb6OXbQ,677.0,4.5,3,7,9,41.928887,-87.658971
wIz_FcvdjLCYo8wygBljJQ,50.0,4.5,3,7,9,41.928887,-87.658971
R103w2NrRj2YjAlJYaYIIA,3.0,5.0,3,7,9,41.928887,-87.658971
tQqZ7smR1OIVMYV0jA6tIw,34.0,5.0,12,8,1,41.929143,-87.649077
99GN5ngA2wdwxv0keLqC3g,102.0,5.0,12,8,1,41.929143,-87.649077
CiKR9s_MphGQLhtlp1FBtA,64.0,5.0,12,8,1,41.929143,-87.649077
-KZsoQtr3e-md07sj0UQzQ,513.0,5.0,12,8,1,41.929143,-87.649077
IvPHql5UloizrbYL1zrEXg,116.0,5.0,12,8,1,41.929143,-87.649077
iAVr7R3a50vTI3SHvX6R4A,103.0,5.0,12,8,1,41.929143,-87.649077
5YtLXPKNx7DOVJc2YKhnww,54.0,5.0,12,8,1,41.929143,-87.649077
fBe0G4dYB5dw4UpnG1DJhA,61.0,5.0,12,8,1,41.929143,-87.649077
ZuenhTy_EnYsyVL8gpGfxQ,30.0,4.5,12,8,1,41.929143,-87.649077
OmEVOOG5Z1SEnUKHoJC7sQ,7.0,4.5,12,8,1,41.929143,-87.649077
UzksnYYQvh2tThSGTqUslA,21.0,4.5,12,8,1,41.929143,-87.649077
gs-PZjw3VONWJQFCSTDTeg,428.0,4.5,12,8,1,41.929143,-87.649077
NwArLAA0hQWqTuAy_u4gKA,148.0,4.5,12,8,1,41.929143,-87.649077
Msq026okPVK4X7zPfobzEg,55.0,4.5,12,8,1,41.929143,-87.649077
qXpvnq1EJ27iuoghG5A4-g,540.0,4.5,12,8,1,41.929143,-87.649077
B5biZi7FWkzZ1c4F_VbnBQ,16.0,4.5,12,8,1,41.929143,-87.649077
XDEPn4jV224fduZcIYfqEA,49.0,4.5,12,8,1,41.929143,-87.649077
qvj2Lho5xuymCy_7NrAe3g,27.0,4.5,12,8,1,41.929143,-87.649077
