id,latitude,longitude,free_bikes,empty_slots,bike_station
1f5c4bbbdda9c2d08239135f4adde68f,41.96909,-87.674237,1,45,0
1ad7fb8d86ae4bffa241927486981a37,41.793242,-87.587782,19,0,1
5722adf4f567f20396ba64db2aa3952b,41.88283,-87.661206,6,8,2
d510712148d2ace2f7efade8e41b4fa4,41.950687,-87.6687,3,11,3
7d847e4d2e95d93d23dfb60e811f3888,41.929546,-87.643118,6,5,4
3e7f4a1a0a89954ac257e403e6d29263,41.866095,-87.607267,15,19,5
77fdc1c96ea2b87051aa1d14aa3940a1,41.871262,-87.673688,3,18,6
7c796d4adb3a7cb7c80818ef8e3706ee,41.928887,-87.658971,9,5,7
4976a6d4f99cb78fd33b89d4954ca3a4,41.929143,-87.649077,2,11,8
361f4566b1399797b0b93458561b81ad,41.805661,-87.683392,6,4,9
7db1f7cd085de82f4bd8ed444ac23ef1,41.92459,-87.72785,6,5,10
e17e3c8d94314130f0df319fd621b49d,41.94367,-87.64895,14,1,11
ce64acd799ad160f58714e4d66f93bd3,41.940106,-87.645451,9,8,12
6b1b862f1b6c969e38091549207f8c04,41.961507,-87.671387,6,7,13
11a832f422b10fe7e4cbc244ba11afb0,41.978353,-87.659753,4,10,14
01dec6831a34cc21119afedc1a551567,41.973815,-87.65966,7,12,15
ce5c76653e8dc91406270f278700a41e,41.957081,-87.664199,6,5,16
ac2888f3f50db6703232d44509449a5d,41.965221,-87.658139,9,14,17
9db2884da36cabac8cd67e9bec1e2266,41.921525,-87.707322,7,8,18
d849d399f3f5819a139a660f4df2b7f3,41.906724,-87.63483,4,13,19
23092e2b09d840d04b8549610274b570,41.953733,-87.740569,5,6,20
70082d3039d307661605014519032c9b,41.787539,-87.644874,4,7,21
3641f6337b3bf6a61660c79fafedd488,41.960631,-87.745359,2,8,22
a338f4ed1812b090b17ff9412df9adcb,41.891466,-87.626761,16,9,23
7726429245001ff8e889f60d1cb505dc,42.032562,-87.679101,3,11,24
dd9129b3d6997c7c90a07c7a8d00d075,42.048214,-87.683485,1,12,25
1976697fc5cdfc3ed05deba9b59c5f3a,41.884728,-87.619521,8,41,26
c18c4d65dba23fd995291bb1e247a4a9,41.886875,-87.62603,2,14,27
e8088cdb2526d5bb46e97fcc95554047,41.882134,-87.625125,1,17,28
fda2895d31f014b24208c2fa946c334c,41.890573,-87.622072,1,28,29
04c7353c6ebd0229dad664ca9fae876f,41.88169,-87.63953,7,17,30
100a3709c9e441ab29c3a8dc210d59ca,41.928773,-87.663913,2,12,31
c84cde6b81786b38276ea58ee89d9368,41.841707,-87.626938,2,8,32
f9fc7dc69c3dea477b9bdee19535f824,41.879255,-87.639904,3,37,33
f83df5ad9762592fb29c27c14b62ca22,41.7586696704,-87.586882871,5,6,34
9f666ceb4fdc869c4c22de8f8853b7b8,41.816499,-87.606582,7,4,35
a00c5b96a8b350f4e7d6592a391f28bb,41.838842,-87.621857,5,5,36
7ee4cb8cac896b5b46fedb0f72b5ee83,41.861267,-87.656625,7,8,37
d71d45b9ccf989cdc95bea58cc59d770,41.865234,-87.666507,1,11,38
2201d49f925d6c7a3353f0bf87df111f,41.891072,-87.666611,14,0,39
86989cfe33e3e0bc607fedac6f467910,41.830661,-87.647172,5,10,40
2678099b372c37c7971bd3cf7846cad1,41.894887,-87.774704,2,3,41
6ad515a6267addaf6b2e2bfc15a390d1,42.012701,-87.666058,11,1,42
7bcd8202d36436fcf1c23e147d2b52d9,42.012342,-87.688243,4,7,43
e77794c4f4f086fd0a0c2508463f4d87,42.018901,-87.690048,4,11,44
17c5f5125f31cb03694e34c99dc682d8,42.015962,-87.66857,13,6,45
482f37a0a0cb2a7bab52424656f57b6a,42.019537,-87.669563,3,7,46
868a1f99977c7f184af87410583c81ec,42.039742,-87.699413,2,13,47
ed564a9cb47fafea0437ccf0059c7775,41.885409,-87.726491,4,6,48
f42984edfc3b8b517f6c635015fca399,41.886841,-87.745261,5,6,49
4dffb0710c525e8654550149a17ae0fa,42.00445062934,-87.6724024047,15,0,50
6348a64eb38a08522f7ce5084014bed0,42.00454962194,-87.6806661451,4,6,51
a42e6fbd08e6f71848e1edcb86f335e1,41.84910969176,-87.6951398068,6,3,52
c98b9544becc8a04ab6d607be0b5a5a3,41.8481,-87.715068,1,9,53
4a8cb7d7f6fc378b4c52f672782ed876,42.00797192287,-87.6655023944,12,2,54
640ce137384b484c9b16bd1692ea7b19,41.84151770807,-87.6851314409,6,5,55
97de04b929c07278987386d5bfafd3f7,41.84447501366,-87.7020130128,5,6,56
6458e7def29be0a0a488a7e046ac127c,41.87184,-87.64664,4,14,57
